"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"locfit","locfit","C:/Users/Victor/Documents/R/win-library/4.1","1.5-9.4",NA,"R (>= 3.5.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"lubridate","lubridate","C:/Users/Victor/Documents/R/win-library/4.1","1.8.0",NA,"methods, R (>= 3.2)","generics","cpp11 (>= 0.2.7)","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"magick","magick","C:/Users/Victor/Documents/R/win-library/4.1","2.7.2",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"magrittr","magrittr","C:/Users/Victor/Documents/R/win-library/4.1","2.0.1",NA,NA,NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"mapproj","mapproj","C:/Users/Victor/Documents/R/win-library/4.1","1.2.7",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.1.2"
"maps","maps","C:/Users/Victor/Documents/R/win-library/4.1","3.4.0",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"maptools","maptools","C:/Users/Victor/Documents/R/win-library/4.1","1.1-2",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"markdown","markdown","C:/Users/Victor/Documents/R/win-library/4.1","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"markovchain","markovchain","C:/Users/Victor/Documents/R/win-library/4.1","0.8.6",NA,"R (>= 3.6.0), methods","igraph, Matrix, matlab, expm, stats4, parallel, Rcpp (>=
1.0.2), RcppParallel, utils, stats, grDevices","Rcpp, RcppParallel, RcppArmadillo (>= 0.9.600.4.0)","knitr, testthat, diagram, DiagrammeR, msm, Rsolnp, rmarkdown,
ctmcd, bookdown, rticles","etm","GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"MASS","MASS","C:/Users/Victor/Documents/R/win-library/4.1","7.3-54","recommended","R (>= 3.3.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"mathjaxr","mathjaxr","C:/Users/Victor/Documents/R/win-library/4.1","1.4-0",NA,NA,NA,NA,"js",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"matlab","matlab","C:/Users/Victor/Documents/R/win-library/4.1","1.0.2",NA,"R (>= 2.15)","methods",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"MatrixModels","MatrixModels","C:/Users/Victor/Documents/R/win-library/4.1","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"matrixStats","matrixStats","C:/Users/Victor/Documents/R/win-library/4.1","0.61.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"memoise","memoise","C:/Users/Victor/Documents/R/win-library/4.1","2.0.0",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"memor","memor","C:/Users/Victor/Documents/R/win-library/4.1","0.2.3",NA,NA,"yaml, rmarkdown, knitr, utils",NA,"kableExtra, ggplot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"Metrics","Metrics","C:/Users/Victor/Documents/R/win-library/4.1","0.1.4",NA,NA,NA,NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"mi","mi","C:/Users/Victor/Documents/R/win-library/4.1","1.0",NA,"R (>= 3.0.0), methods, Matrix, stats4","arm (>= 1.4-11)",NA,"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival,
truncnorm, foreign",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"mime","mime","C:/Users/Victor/Documents/R/win-library/4.1","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.1.1"
"miniUI","miniUI","C:/Users/Victor/Documents/R/win-library/4.1","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"minqa","minqa","C:/Users/Victor/Documents/R/win-library/4.1","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"miscTools","miscTools","C:/Users/Victor/Documents/R/win-library/4.1","0.6-26",NA,"R (>= 2.14.0)","digest",NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"mitools","mitools","C:/Users/Victor/Documents/R/win-library/4.1","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"mnormt","mnormt","C:/Users/Victor/Documents/R/win-library/4.1","2.0.2",NA,"R (>= 2.2.0)","tmvnsim (>= 1.0-2)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"modelbased","modelbased","C:/Users/Victor/Documents/R/win-library/4.1","0.7.0.1",NA,"R (>= 3.4)","bayestestR (>= 0.10.5), effectsize (>= 0.4.5-2), insight (>=
0.14.1), datawizard (>= 0.2.0), parameters (>= 0.14.0),
performance, graphics, stats, utils",NA,"brms, coda, correlation, dplyr, emmeans (>= 1.5.3), gamm4,
gganimate, ggplot2, glmmTMB, knitr, lme4, logspline, MASS,
Matrix, merTools, mgcv, patchwork, rmarkdown, rstanarm,
rtdists, see (>= 0.6.5), spelling, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"modeldata","modeldata","C:/Users/Victor/Documents/R/win-library/4.1","0.1.1",NA,"R (>= 2.10)",NA,NA,"covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"ModelMetrics","ModelMetrics","C:/Users/Victor/Documents/R/win-library/4.1","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"modelr","modelr","C:/Users/Victor/Documents/R/win-library/4.1","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"modeltools","modeltools","C:/Users/Victor/Documents/R/win-library/4.1","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"moments","moments","C:/Users/Victor/Documents/R/win-library/4.1","0.14",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"Morpho","Morpho","C:/Users/Victor/Documents/R/win-library/4.1","2.9",NA,"R (>= 3.2.0)","Rvcg (>= 0.7), rgl (>= 0.100.18), foreach (>= 1.4.0), Matrix
(>= 1.0-1), MASS, parallel, doParallel (>= 1.0.6), colorRamps,
Rcpp, graphics, grDevices, methods, stats, utils, jsonlite,
bezier","Rcpp, RcppArmadillo (>= 0.4)","car, lattice, shapes, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"MplusAutomation","MplusAutomation","C:/Users/Victor/Documents/R/win-library/4.1","1.0.0",NA,"R (>= 3.5.0), methods","utils, boot, plyr, gsubfn, coda, xtable, lattice, texreg,
pander, digest, parallel, ggplot2, data.table, rlang,
fastDummies, checkmate",NA,"rhdf5, tcltk, relimp, knitr, testthat (>= 3.0.0), rmarkdown",NA,"LGPL-3",NA,NA,NA,NA,"no","4.1.0"
"mstate","mstate","C:/Users/Victor/Documents/R/win-library/4.1","0.3.1",NA,"survival (>= 3.1)","rlang, data.table, magrittr, lattice, RColorBrewer, viridis",NA,"cmprsk, ggplot2, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"muhaz","muhaz","C:/Users/Victor/Documents/R/win-library/4.1","1.2.6.4",NA,"R(>= 2.3)","survival",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.1.0"
"multcomp","multcomp","C:/Users/Victor/Documents/R/win-library/4.1","1.4-17",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"multcompView","multcompView","C:/Users/Victor/Documents/R/win-library/4.1","0.1-8",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.1.1"
"munsell","munsell","C:/Users/Victor/Documents/R/win-library/4.1","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"mvdalab","mvdalab","C:/Users/Victor/Documents/R/win-library/4.1","1.6",NA,NA,"car, dummies, ggplot2, MASS, moments, parallel, penalized,
plyr, reshape2, sn",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"mvnTest","mvnTest","C:/Users/Victor/Documents/R/win-library/4.1","1.1-0",NA,"R (>= 2.15.0), mvtnorm","methods, stats, graphics, MASS",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"MVR","MVR","C:/Users/Victor/Documents/R/win-library/4.1","1.33.0",NA,"R (>= 3.0.2), statmod","parallel, methods",NA,NA,NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"mvtnorm","mvtnorm","C:/Users/Victor/Documents/R/win-library/4.1","1.1-2",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"nasaweather","nasaweather","C:/Users/Victor/Documents/R/win-library/4.1","0.1",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"ndjson","ndjson","C:/Users/Victor/Documents/R/win-library/4.1","0.8.0",NA,"R (>= 3.2.0)","Rcpp, data.table, tibble","Rcpp","tinytest, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"nloptr","nloptr","C:/Users/Victor/Documents/R/win-library/4.1","1.2.2.3",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.1.2"
"nortest","nortest","C:/Users/Victor/Documents/R/win-library/4.1","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"numDeriv","numDeriv","C:/Users/Victor/Documents/R/win-library/4.1","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"nycflights13","nycflights13","C:/Users/Victor/Documents/R/win-library/4.1","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.1.1"
"officer","officer","C:/Users/Victor/Documents/R/win-library/4.1","0.3.19",NA,NA,"R6, grDevices, stats, graphics, utils, zip (>= 2.1.0), uuid
(>= 0.1-4), xml2 (>= 1.1.0)",NA,"testthat, devEMF, ggplot2, rmarkdown, base64enc, knitr, rsvg",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"olsrr","olsrr","C:/Users/Victor/Documents/R/win-library/4.1","0.5.3",NA,"R(>= 3.3)","car, data.table, ggplot2, goftest, graphics, gridExtra,
nortest, Rcpp, stats, utils","Rcpp","covr, descriptr, knitr, rmarkdown, testthat, vdiffr, xplorerr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"openssl","openssl","C:/Users/Victor/Documents/R/win-library/4.1","1.4.5",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"openxlsx","openxlsx","C:/Users/Victor/Documents/R/win-library/4.1","4.2.4",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"optimx","optimx","C:/Users/Victor/Documents/R/win-library/4.1","2021-6.12",NA,NA,"numDeriv",NA,"knitr, rmarkdown, markdown, setRNG, BB, ucminf, minqa,
dfoptim, lbfgsb3c, lbfgs, subplex",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"outliers","outliers","C:/Users/Victor/Documents/R/win-library/4.1","0.14",NA,"R (>= 2.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.1.1"
"pagedown","pagedown","C:/Users/Victor/Documents/R/win-library/4.1","0.15",NA,NA,"rmarkdown (>= 1.16), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.18), httpuv, xfun,
websocket",NA,"promises, testit, xaringan, pdftools, revealjs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"palmerpenguins","palmerpenguins","C:/Users/Victor/Documents/R/win-library/4.1","0.1.0",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"pander","pander","C:/Users/Victor/Documents/R/win-library/4.1","0.6.4",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"papeR","papeR","C:/Users/Victor/Documents/R/win-library/4.1","1.0-5",NA,"car, xtable","utils, gmodels, graphics, stats",NA,"nlme, knitr, rmarkdown, testthat (>= 0.10.0), foreign","lme4, survival","GPL-2",NA,NA,NA,NA,"no","4.1.1"
"parallelly","parallelly","C:/Users/Victor/Documents/R/win-library/4.1","1.28.1",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"parameters","parameters","C:/Users/Victor/Documents/R/win-library/4.1","0.15.0.1",NA,"R (>= 3.4)","bayestestR (>= 0.11.0), datawizard (>= 0.2.1), insight (>=
0.14.5), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor, BayesFM, bbmle, betareg, biglm,
blme, boot, brglm2, brms, broom, cAIC4, car, cgam,
ClassDiscovery, clubSandwich, cluster, cplm, dbscan, drc, DRR,
effectsize (>= 0.5.0.1), EGAnet (>= 0.7), emmeans (>= 1.7.0),
factoextra, FactoMineR, fastICA, fpc, gam, gamlss, gee,
geepack, ggplot2, GLMMadaptive, glmmTMB, GPArotation, gt,
ivprobit, ivreg, knitr, lavaan, lavaSearch2, lfe, lm.beta,
lme4, lmerTest, logspline, lqmm, M3C, magrittr, MASS, Matrix,
mclust, MCMCglmm, mediation, metaBMA, metafor, mfx, mgcv, mice,
multcomp, MuMIn, NbClust, nFactors, nlme, nnet, openxlsx,
ordinal, panelr, pbkrtest, PCDimension, performance (>= 0.8.0),
plm, PMCMRplus, poorman, PROreg, projpred, pscl, psych,
pvclust, quantreg, randomForest, rmarkdown, rstanarm, sandwich,
see (>= 0.6.8), sjstats, spelling, survey, survival, testthat,
TMB, tripack, truncreg, VGAM, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"parsedate","parsedate","C:/Users/Victor/Documents/R/win-library/4.1","1.2.1",NA,NA,"rematch2",NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"parsnip","parsnip","C:/Users/Victor/Documents/R/win-library/4.1","0.1.7",NA,"R (>= 2.10)","dplyr (>= 0.8.0.1), generics (>= 0.1.0), globals, glue,
hardhat (>= 0.1.5.9000), lifecycle, magrittr, prettyunits,
purrr, rlang (>= 0.3.1), stats, tibble (>= 2.1.1), tidyr (>=
1.0.0), utils, vctrs (>= 0.2.0)",NA,"C50, covr, dials, earth, keras, kernlab, kknn, knitr,
LiblineaR, MASS, Matrix, mgcv, modeldata, nlme, randomForest,
ranger (>= 0.12.0), rmarkdown, rpart, sparklyr (>= 1.0.0),
survival, testthat, xgboost",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"patchwork","patchwork","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pbivnorm","pbivnorm","C:/Users/Victor/Documents/R/win-library/4.1","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"pbkrtest","pbkrtest","C:/Users/Victor/Documents/R/win-library/4.1","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"pcaPP","pcaPP","C:/Users/Victor/Documents/R/win-library/4.1","1.9-74",NA,NA,"mvtnorm",NA,"robustbase",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"pdftools","pdftools","C:/Users/Victor/Documents/R/win-library/4.1","3.0.1",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","jpeg, png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"penalized","penalized","C:/Users/Victor/Documents/R/win-library/4.1","0.9-51",NA,"R (>= 2.10.0), survival, methods","Rcpp","Rcpp, RcppArmadillo","globaltest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.2"
"performance","performance","C:/Users/Victor/Documents/R/win-library/4.1","0.8.0",NA,"R (>= 3.4)","bayestestR (>= 0.9.0), insight (>= 0.14.0), datawizard (>=
0.2.0), methods, stats, utils",NA,"AER, afex, BayesFactor, betareg, bigutilsr, brms, car,
CompQuadForm, correlation, cplm, dbscan, dplyr, fixest,
forecast, gamm4, ggplot2, glmmTMB, ICS, ICSOutlier, ISLR,
lavaan, lme4, lmtest, loo, magrittr, MASS, Matrix, mclust,
metafor, mgcv, mlogit, multimode, nlme, nonnest2, ordinal,
parallel, parameters, patchwork, pscl, psych, randomForest,
rmarkdown, rstanarm, rstantools, sandwich, see, spelling,
survey, survival, testthat, tweedie, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"permute","permute","C:/Users/Victor/Documents/R/win-library/4.1","0.9-5",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"pheatmap","pheatmap","C:/Users/Victor/Documents/R/win-library/4.1","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"pillar","pillar","C:/Users/Victor/Documents/R/win-library/4.1","1.6.4",NA,NA,"cli, crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi, lifecycle,
rlang (>= 0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nycflights13, palmerpenguins, rmarkdown,
scales, stringi, survival, testthat (>= 3.0.2), tibble, units
(>= 0.7.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"pixarfilms","pixarfilms","C:/Users/Victor/Documents/R/win-library/4.1","0.2.1",NA,"R (>= 2.10)","tibble",NA,"dplyr, forcats, ggbeeswarm, ggplot2, ggrepel, irr, knitr,
markdown, rmarkdown, spelling, testthat (>= 3.0.0), tidyr",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"pixmap","pixmap","C:/Users/Victor/Documents/R/win-library/4.1","0.4-12",NA,NA,"methods, graphics, grDevices",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"pkgbuild","pkgbuild","C:/Users/Victor/Documents/R/win-library/4.1","1.2.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgconfig","pkgconfig","C:/Users/Victor/Documents/R/win-library/4.1","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgdown","pkgdown","C:/Users/Victor/Documents/R/win-library/4.1","1.9000.9000.9000",NA,"R (>= 3.1.0)","bslib, callr (>= 2.0.2), crayon, desc, digest, downlit (>=
0.2.9000.9001), fs (>= 1.3.0), jsonlite, httr (>= 1.4.2),
magrittr, memoise, purrr, ragg, rlang (>= 0.3.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr, xml2 (>= 1.3.1), yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, testthat (>= 3.0.0), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgload","pkgload","C:/Users/Victor/Documents/R/win-library/4.1","1.2.1",NA,NA,"cli, crayon, desc, methods, rlang, rprojroot, rstudioapi,
utils, withr",NA,"bitops, covr, pkgbuild, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"plotly","plotly","C:/Users/Victor/Documents/R/win-library/4.1","4.9.4.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, vdiffr, Cairo, broom, webshot, listviewer,
dendextend, sf, maptools, rgeos, png, IRdisplay, processx,
plotlyGeoAssets, forcats, palmerpenguins",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"plotrix","plotrix","C:/Users/Victor/Documents/R/win-library/4.1","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"pls","pls","C:/Users/Victor/Documents/R/win-library/4.1","2.8-0",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"plyr","plyr","C:/Users/Victor/Documents/R/win-library/4.1","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"PMCMRplus","PMCMRplus","C:/Users/Victor/Documents/R/win-library/4.1","1.9.0",NA,"R (>= 3.5.0)","mvtnorm (>= 1.0), multcompView, gmp, Rmpfr, SuppDists,
kSamples (>= 1.2.7), BWStest (>= 0.2.1), MASS",NA,"xtable, graphics, knitr, rmarkdown, car, e1071, multcomp,
pwr, NSM3",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"png","png","C:/Users/Victor/Documents/R/win-library/4.1","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"pokedex","pokedex","C:/Users/Victor/Documents/R/win-library/4.1","0.0.0.9000",NA,"R (>= 3.4.1)","xml2, dplyr, tibble, httr, purrr, magrittr",NA,"testthat, knitr, rmarkdown",NA,"Apache 2.0",NA,NA,NA,NA,"no","4.1.0"
"polynom","polynom","C:/Users/Victor/Documents/R/win-library/4.1","1.4-0",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"postcards","postcards","C:/Users/Victor/Documents/R/win-library/4.1","0.2.0.9000",NA,NA,"utils, rmarkdown, rstudioapi",NA,"testthat",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"pracma","pracma","C:/Users/Victor/Documents/R/win-library/4.1","2.3.3",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.1"
"praise","praise","C:/Users/Victor/Documents/R/win-library/4.1","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"prettydoc","prettydoc","C:/Users/Victor/Documents/R/win-library/4.1","0.4.1",NA,NA,"rmarkdown (>= 1.17)",NA,"knitr, KernSmooth",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.1.0"
"prettyunits","prettyunits","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pROC","pROC","C:/Users/Victor/Documents/R/win-library/4.1","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
